id,name,symbol,price_usd,price_inr,market_cap,price_change_24h,last_updated
bitcoin,Bitcoin,BTC,86601.0,7187883.0,1730204907646.0,-0.11469,"2025-12-18 07:08:21.594807"
ethereum,Ethereum,ETH,2829.54,234851.82,341878912048.0,-3.58132,"2025-12-18 07:08:21.596781"
tether,Tether,USDT,0.999663,82.97,186253437377.0,-0.01465,"2025-12-18 07:08:21.596849"
binancecoin,BNB,BNB,833.93,69216.19,114959067206.0,-3.69563,"2025-12-18 07:08:21.596860"
ripple,XRP,XRP,1.83,151.89,110939005980.0,-4.55107,"2025-12-18 07:08:21.596870"
usd-coin,USDC,USDC,0.999884,82.99,77998816860.0,-0.01079,"2025-12-18 07:08:21.596879"
solana,Solana,SOL,122.76,10189.08,69016666042.0,-3.99403,"2025-12-18 07:08:21.596885"
tron,TRON,TRX,0.276996,22.99,26231168882.0,-1.04931,"2025-12-18 07:08:21.596892"
staked-ether,"Lido Staked Ether",STETH,2829.89,234880.87,24826543411.0,-3.64936,"2025-12-18 07:08:21.596898"
dogecoin,Dogecoin,DOGE,0.124658,10.35,18973252396.0,-4.68717,"2025-12-18 07:08:21.596905"
figure-heloc,"Figure Heloc",FIGR_HELOC,1.001,83.08,14282775361.0,-3.08003,"2025-12-18 07:08:21.596911"
cardano,Cardano,ADA,0.361418,30.0,13254546120.0,-4.9246,"2025-12-18 07:08:21.596918"
whitebit,"WhiteBIT Coin",WBT,58.16,4827.28,12435831534.0,1.22876,"2025-12-18 07:08:21.596925"
wrapped-steth,"Wrapped stETH",WSTETH,3461.32,287289.56,10923774768.0,-3.62238,"2025-12-18 07:08:21.596932"
wrapped-bitcoin,"Wrapped Bitcoin",WBTC,86526.0,7181658.0,10774836627.0,-0.07497,"2025-12-18 07:08:21.596938"
bitcoin-cash,"Bitcoin Cash",BCH,528.94,43902.02,10567906030.0,-3.09654,"2025-12-18 07:08:21.596945"
wrapped-beacon-eth,"Wrapped Beacon ETH",WBETH,3073.54,255103.82,10034445821.0,-3.6639,"2025-12-18 07:08:21.596951"
usds,USDS,USDS,0.999976,83.0,9933759586.0,4.0e-05,"2025-12-18 07:08:21.596957"
binance-bridged-usdt-bnb-smart-chain,"Binance Bridged USDT (BNB Smart Chain)",BSC-USD,0.999136,82.93,8984704838.0,0.02036,"2025-12-18 07:08:21.596964"
